Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Fallen Timbers Battlefield and Fort Miamis National Historic Site  General Management Plan  Implementation  Lucas County  OH,Final,03/22/2006,02/24/2006,National Park Service,,OH
Central Valley Project  West San Joaquin Division  Additional Information  San Luis Unit Long-Term Water Service Contract Renewal  Cities of Avenal  Coalinga and Huron  Fresno  King and Merced Counties  CA,Draft Supplement,04/17/2006,02/24/2006,Bureau of Reclamation,,CA
Pennsylvania Army National Guard's 56th Brigade Transformation into a Stryker Brigade Combat Team (SBCT)  Proposal to Comply with this Directive  near Annville  PA,Final,03/23/2006,02/24/2006,United States Army,,PA
Dean Project Area  Proposes to Implement Multiple Resource Management Actions  New Information to Disclose Direct  Indirect  and Cumulative Environmental Impacts  Black Hills National Forest  Bearlodge Ranger District  Sundance  Crook County  WY,Draft Supplement,04/13/2006,02/24/2006,Forest Service,,WY
GENERIC - License Renewal of Nuclear Plants  Supplement 27 to NUREG-1437  Regarding Palisade Nuclear Plant  (TAC NO. MC6434)  Located in Covert Township  Van Buren County  MI,Draft,05/26/2006,02/24/2006,Nuclear Regulatory Commission,,MI
Reef Fish (Amendment 25 ) and Coastal Migratory Pelagics (Amendment 17) for Extending the Charter Vessel/Headboat Permit Moratorium  Gulf of Mexico and South Atlantic,Final Supplement,03/01/2006,02/24/2006,National Oceanic and Atmospheric Administration,,
Slapjack Project   Protect Rural Communities from Fire Hazards by Constructing Defensible Fuel Profile Zones (DFPZS)  Feather River Ranger District  Plumas National Forest  Butte and Yuba Counties  CA,Draft,04/19/2006,02/24/2006,Forest Service,,CA
Central and Southern Florida Project  Revised Draft Integrated Project Implementation Report  Comprehensive Restoration Plan  Implementation  Everglades Agricultural Area Storage Reservoirs  Palm Beach County  FL,Revised Draft,04/10/2006,02/24/2006,U.S. Army Corps of Engineers,,FL
South Extension of the Coastal Trail Project  Extending the existing Tony Knowles Coastal Trail from Kincaid Park through the Project Area to the Potter Weigh Station  COE Section 10 and 404 Permit  Municipality of Anchorage  Anchorage  AK,Final,03/27/2006,02/24/2006,Federal Highway Administration,,AK
Sheep Flats Diversity Unit  Timber Sales and Related Road Construction  Additional Information Concerning Management Indicator Species and Sensitive Species  Grand Mesa Uncompahgre and Gunnison National Forests  Grand Valley Ranger District  Mesa County  CO,Final Supplement,03/31/2006,02/24/2006,Forest Service,,CO
Lake Elsinore Advanced Pumped Storage (LEAPS) Project  Construction and Operation  Application for Hydroelectric License  Special-Use-Permit  FERC No.11858  City of Lake Elsinore  Riverside County  CA,Draft,04/27/2006,02/24/2006,Federal Energy Regulatory Commission,,CA
Baylor Park Blowdown Project  New Information  Salvage and Treat Down and Damaged Timber  To Reduce Impact of Spruce Beetles  Implementation  White River National Forest  Sopris and Rifle Ranger District  Garfield  Mesa and Pitkin Counties  CO,Final Supplement,03/31/2006,02/24/2006,Forest Service,,CO
Empire Vegetation Management Project  Additional Information to Clarify Previous Analysis  Vegetation  Fire/Fuels/Air Quality  Wildlife  Watershed  and Botanical Resource/Noxious Weeds  Mount Hough Ranger District  Plumas National Forest  Plumas County  CA,Draft Supplement,03/02/2006,02/24/2006,Forest Service,,CA
Payette National Forest Travel Management Plan  Designate a System of Roads  Trails and Areas Open to Motorized and Non-Motorized Use  Implementation  Adam  Washington  Idaho  Valley Counties  ID,Draft,05/19/2006,02/17/2006,Forest Service,,ID
Scotts Valley Band of Pomo Indians  Proposed 29.87 Acre Fee-to-Trust Transfer and Casino Project  Contra Costa County  CA,Draft,05/25/2006,02/17/2006,Bureau of Indian Affairs,,CA
Driftless Area National Wildlife Refuge Comprehensive Conservation Plan  to Recover and Conserve the Northern Monkshood and Iowa Pleistocene Snail  IA,Final,03/17/2006,02/17/2006,Fish and Wildlife Service,,IA
Great Smoky Mountains National Park General Management Plan Amendment  Implementation  Elkmont Historic District  Sevier County  TN,Draft,05/11/2006,02/10/2006,National Park Service,,TN
Rock Creek Integrated Management Project  Propose Treatment to Address Mountain Beetle Epidemics  and to Reduce Wildfires within the Rock Creek Analysis Area  Medicine Bow-Routt National Forests and Thunder Basin National Grassland  Glenwood Springs Resource Area  Routt and Grand Counties  CO,Final,03/17/2006,02/10/2006,Forest Service,,CO
South Florida Water Management District  (SFWMD)  Proposes Construction and Operation Everglades Agricultural Area Reservoir A-1 Project  Lake Okeechobee  Palm Beach County  FL,Draft Supplement,03/27/2006,02/10/2006,U.S. Army Corps of Engineers,,FL
Juneau Access Transportation Project  Improvements in the Lynn Canal/Taiya Inlet Corridor between Juneau and Haines/Skagway  Special-Use-Permit and COE Section 10 and 404 Permits  Tongass National Forest  Klondike Gold Rush National Historic Park  Haines States Forest  City and Borough of Juneau  Haines Borough  Cities Haines and Skagway  AK,Final,03/10/2006,02/10/2006,Federal Highway Administration,,AK
Phoenix Sky Harbor International Airport (PHX)  Construction and Operation of a Terminal  Airfield and Surface Transportation  City of Phoenix  Maricopa County  AZ,Final,03/13/2006,02/10/2006,Federal Aviation Administration,,AZ
Greater Deadman Bench Oil and Gas Producing Region  Proposes to Develop Oil and Gas Resources  Right-of-Way Grants and  Applications for Permit to Drill  Vernal  Uintah County  UT,Draft,03/27/2006,02/10/2006,Bureau of Land Management,,UT
North Steens Ecosystem Restoration Project  To Reduce Juniper-Related Fuels and Restore Various Plant Communities  Implementation  Andrews Resource Area  Cooperative Management and Protection Area (CMPA)  Harney County  OR,Draft,03/27/2006,02/10/2006,Bureau of Land Management,,OR
German Ridge Restoration Project  to Restore Native Hardwood Communities  Implementation  Hoosier National Forest  Tell City Ranger District  Perry County  IN,Final,02/22/2006,02/10/2006,Forest Service,,IN
Wayne National Forest  Proposed Revised Land and Resource Management Plan  Implementation  Several Counties  OH,Final,02/22/2006,02/03/2006,Forest Service,,OH
GENERIC - License Renewal of Nuclear Plants  Supplement 26 to NUREG 1437  Regarding Monticello Nuclear Generating Plant (TAC NO. MC6441) Renewal of Opeating License DRP-22 for Additional 20-Years of Operation  Mississippi River  City of Monticello  Wright County  MN,Draft,05/03/2006,02/03/2006,Nuclear Regulatory Commission,,MN
Los Angeles Union Station Run-Through Tracks Project  Pedestrian Access Improvements  Connectivity and Increase the Capacity  City Los Angeles  Los Angeles County  CA,Final,03/07/2006,02/03/2006,Federal Railroad Administration,,CA
Kuiu Timber Sale Area  Proposes to Harvest Timber and Build Associated Temporary Roads  US. Army COE Section 10 and 404 Permits  North Kuiu Island  Petersburg Ranger District  Tongass National Forest  AK,Draft,03/20/2006,02/03/2006,Forest Service,,AK
Schoodic General Management Plan Amendment  Implementation  Acadia National Park  ME,Final,03/06/2006,02/03/2006,National Park Service,,ME
Sugar Creek Municipal Water Supply  Updated Information  Proposed New 1172 Acre Water Supply Reservoir  Construction  COE Section 404 Permit Issuance  City of Marion  Williamson and Johnson Counties  IL,Second Final Supplemental,04/03/2006,02/03/2006,U.S. Army Corps of Engineers,,IL
ADOPTION - Black-Trailed Prairie Dog Conservation and Management on the Nebraska National Forest and Associated Units  Implementation  Dawes  Sioux Blaine  Cherry  Thomas Counties  NE and Custer  Fall River  Jackson  Pennington  Jones  Lyman   Stanely Counties  SD,Final,09/05/2005,02/03/2006,Animal and Plant Health Inspection Service,,
McCaslin Project  Vegetation Management Activities that are Consistent with Direction in the Nicolet Forest Plan  New Information to Address Inadequate Disclosure of the Cumulative Effect Analysis for Six Animal and Eight Plant Species  Lakewood/Lasna District  Chequamegaon-Nicolet National Forest  Oconto and Forest Counties  WI,Draft Supplement,03/13/2006,01/27/2006,Forest Service,,WI
PROGRAMMATIC - Defense Threat Reduction Agency (DTRA) Activities on White Sands Missile Range (WSMR)  Implementation  NM,Draft,03/17/2006,01/27/2006,Department of Defense,,NM
Kings River Project  Proposal to Restore Historical Pre-1850 Forest Conditions  Implementation  High Sierra Ranger District  Sierra National Forest  Fresno County  CA,Draft,04/07/2006,01/27/2006,Forest Service,,CA
Whistle Stop Project  Provide Access to Backcountry Recreation Area on National Forest  System (NFS) Lands  on the Kenai Peninsula between Portage and Moose Pass  Chugach National Forest  Kenai Peninsula Borough  AK,Draft,03/13/2006,01/27/2006,Forest Service,,AK
Washington State Forest Habitat Conservation Plan  Propose Issuance of Multiple Species Incidental Take Permit of 4(d) Rules  NPDES Permit  US Army COE Section 10 and 404 Permits  WA,Final,02/27/2006,01/27/2006,National Oceanic and Atmospheric Administration,,WA
Northwest Howell Vegetation Management Project  New Information to Address Inadequate Disclosure of the Cumulative Effects Analysis for Six Animal and Two Plant  Species  Eagle River-Florence Ranger District  Chequamegon-Nicole National Forest  Florence and Forest Counties  WI,Draft Supplement,03/15/2006,01/27/2006,Forest Service,,WI
South Valley Corridor Project  Improvement to Existing Urban Transportation System  Light Rail Transit (LRT)  Right-of-Way Grant  City of Liberty Lake  Spokane County  WA,Draft,03/03/2006,01/27/2006,Federal Transit Administration,,WA
Upper Rio Grande Basin Water Operations Review  To Develop an Integrated Plan for Water Operations at the Existing Facilities  NM  CO and TX,Draft,03/17/2006,01/27/2006,Bureau of Reclamation,USACE,NM - TX
Quitchupah Creek Road Project  Public Road Construction to Provide Access from UT-10 to the Acord Lakes Road  Application  for Right-of-Way Grant  Fishlake National Forest  Sevier County Special Services District (SSD)  Sevier and Emery Counties  UT,Final,02/15/2006,01/27/2006,Forest Service,,UT
Fort Bragg Headquarters for XVII Airborne Corps and Army Special Operations Command  To Determine the Level of Training on the Overhills Tract Program  Cumberland and Harnett Counties  NC,Final,02/06/2006,01/27/2006,U.S. Army Corps of Engineers,,NC
Willis Avenue Bridge Reconstruction  Proposing Reconstruction of 100-year Old Willis Avenue Bridge over the Harem River between Manhattan and the Bronx  New York and Bronx Counties  NY,Final,02/27/2006,01/27/2006,Federal Highway Administration,,NY
Upper Trinity River Basin Project  To Provide Flood Damage Reduction  Ecosystem Improvement  Recreation and Urban Revitalization  Trinity River  Central City  Fort Worth  Tarrant County  TX,Final,02/21/2006,01/20/2006,U.S. Army Corps of Engineers,,TX
Dayton Aviation Heritage National Historical Park  General Management Plan Amendment  Implementation  Dayton  OH,Draft,03/20/2006,01/20/2006,National Park Service,,OH
Kirkwood Mountain Resort  Proposed 2003 Mountain Master Development Plan  Implementation  Eldorado National Forest  Amador  Alpine and EL Dorado Counties  CA,Draft,03/21/2006,01/20/2006,Forest Service,,CA
Ocala National Forest Access Designation Process  Roads and Trails Systems Development  Implementation  Lake  Marion and Putnam Counties  FL,Final,02/22/2006,01/20/2006,Forest Service,,FL
Long-Term Miscellaneous Purposes Contract Abstract To Use Carlsbad Project  Water for Purposes Other than Irrigation  Eddy County  NM,Draft,03/13/2006,01/20/2006,Bureau of Reclamation,,NM
Amendment 26 to the Gulf of Mexico Reef Fish Fishery Management  Plan  Proposed Individual Fishing Quota (IFQ) Program to Reduce Overcapacity in the Commercial Red Snapper Fishery,DC,02/28/2006,01/20/2006,National Oceanic and Atmospheric Administration,,
Chapita Wells-Stagecoach Area Natural Gas Development  Drilling and Production Operations of Natural Gas Wells and Associated Access Road  and Pipelines  Uintah County  UT,Draft,03/13/2006,01/20/2006,Bureau of Land Management,,UT
Denali National Park and Preserve Revised Final Backcountry Management Plan  General Management Plan Amendment  Implementation  AK,Final,02/21/2006,01/20/2006,National Park Service,,AK
US Army National Training Center  Additional Maneuverable Training Land at Fort Irwin  Implementation  San Bernardino County  CA,Final Supplement,02/14/2006,01/20/2006,U.S. Army Corps of Engineers,,CA
TIERED- FEIS  Baltimore Harbor and Channels Dredged Material Management Plan (DMMP)  To Analyze Dredged Material Placement   Port of Baltimore  Chesapeake Bay  MD  PA  DE  WV  DC  and NY,Final,02/21/2006,01/20/2006,U.S. Army Corps of Engineers,,
Boston Harbor Inner Harbor Maintenance Dredging Project  Updated Information  Boston Harbor  Mystic River and Chelsea River  MA,Draft Supplement,03/06/2006,01/20/2006,U.S. Army Corps of Engineers,,MA
East-West Corridor Highway Component  from I-130 to Louis Armstrong International Airport  to Central Business District (CBD)  Jefferson  Orleans and St. Charles Parishes  LA,Draft,03/03/2006,01/20/2006,Federal Highway Administration,,LA
Scott Peak  Project Area  Harvesting Timber and Development of Road Management  Tongass National Forest  Petersburg Ranger District  Northeast of Kupreanof Island  AK,Final,02/02/2006,01/20/2006,Forest Service,,AK
Inter County Connector (ICC) from I-270 to US-1  Funding and US Army COE Section 404 Permit  Montgomery and Prince George's Counties  MD,Final,04/27/2006,01/13/2006,Federal Highway Administration,,MD
Jonah Infill Drilling Project  Propose to Expand Development of Natural Gas Drilling  Sublette County  WY,Final,02/10/2006,01/13/2006,Bureau of Land Management,,WY
Syracuse Road 1000 West to 2000 West  Transportation Improvements  Funding and US Army COE  Section 404 Permit  Syracus City  Davis County  UT,Draft,02/28/2006,01/13/2006,Federal Highway Administration,,UT
