Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
South Capitol Street Project  Replacement of the Fredrick Douglas Memorial Bride  from Firth Sterling Avenue SE to Independence Avenue and the Suitland Parkway from Martin Luther King  Jr Avenue SE to South Capitol Street.  Washington  District of Columbia,Final,05/12/2011,04/08/2011,Federal Highway Administration,,DC
China Mountain Wind Project and Jarbidge Resource Management Plan Amendment  Construction and Operation of 170 Wind Turbines and Associates Facilities  Application for Right-Of-Way Grant  Twin Falls County  Idaho  and Elko County  Nevada  southwest of Rogerson  Idaho and west of Jackpot  Nevada,Draft,07/11/2011,04/08/2011,Bureau of Land Management,,ID
Phelps Vegetation and Transportation Management Project  Proposal to Implement Vegetation and Transportation Management Activities  Eagle River-Florence Ranger District  Vilas County  WI,Draft,05/18/2011,04/08/2011,Forest Service,,WI
Kirkwood Meadows Power Line Reliability Project  Proposal to Construct and Operate 34.5 kilovolt (kV) Power Line  Eldorado National Forest  Amador  Eldorado  and Alpine Counties  CA,Draft,05/31/2011,04/01/2011,Forest Service,,CA
South Coast Rail Project  To Establish Commuter Passenger Transit Service between Boston and the Cities of New Bedford and Fall River  Bristol  Plymouth  Norfolk and Suffolk Counties  MA,Draft,05/27/2011,04/01/2011,U.S. Army Corps of Engineers,,MA
Port MacKenzie Rail Line Extension Construction and Operation  Alaska Railroad Corporation   Port MacKenzie  AK,Final,05/02/2011,04/01/2011,Surface Transportation Board,,AK
DesertXpress High-Speed Passenger Train Project  Proposes to Construct and Operate High-Speed Passenger Train between Victorville  California  and Las Vegas  Nevada,Final,05/02/2011,04/01/2011,Federal Railroad Administration,,NV
Natural Resource Plan   To Determine How TVA Will Manage It Natural Resource Over the Next 20 Year  Implementation  AL  GA  KY  MS  NC  TN and VA,Draft,05/16/2011,04/01/2011,Tennessee Valley Authority,,AL - GA - KY - MS - NC - TN
Atlantic Sea Scallop Fishery Management Plan  Amendment 15  Implementation of the Annual Catch Limits (ACLs) and Accountability Measures (AMs) to Prevent Overfishing  Gulf of Maine  Georges Bank,Final,04/28/2011,04/01/2011,National Oceanic and Atmospheric Administration,,
Federal Hardrock Mineral Prospecting Permits Project  To Conduct Mineral Exploration Drilling and Geophysical Activities on the Superior National Forest  Cook  Lake  St. Louis and Koochiching Counties  MIN,Draft,06/17/2011,04/01/2011,Forest Service,,MN
Sunset Area Community Planned Action  Proposal to Redevelopment of the Sunset Terrace Public Housing Community and Associated Neighborhood Growth and Revitalization  City of Renton  WA,Final,04/29/2011,04/01/2011,Department of Housing and Urban Development,,WA
West Coast Recycling Group Metal Recycling Facility Project  Proposal to Develop and Operate a Scrap Metal Shredding and Recycling Facility at the Port of West Sacramento  Yolo County  CA,Draft,05/16/2011,04/01/2011,Department of Housing and Urban Development,,CA
New Orleans To Venice (NOV)  Federal Hurricane Protection Levee. Restoring  Armoring and Accelerating the Completion of the Existing NOV     Plaquemines Parish  LA,Draft Supplement,05/05/2011,03/25/2011,U.S. Army Corps of Engineers,,LA
Topaz Solar Farm Project  Issuing a Loan Guarantee to Royal Bank of Scotland for Construction and Startup  San Luis Obispo County  CA,Draft,05/17/2011,03/25/2011,Department of Energy,,CA
Vogtle Electric Generating Plant Units 3 and 4  Construction and Operation  Application for Combined Licenses (COLs)  NUREG-1947  Waynesbora  GA,Final,05/06/2011,03/25/2011,Nuclear Regulatory Commission,,GA
State Route 180 Westside Expressway Route Adoption Study  To Improve Mobility East and West through the Center of Fresno County and the San Joaquin Valley  Fresno County  CA,Draft,05/31/2011,03/25/2011,Federal Highway Administration,,CA
Galena Project  To Implement Several Resource Management Activities  Blue Mountain Ranger District Malheur National Forest  Town of John Day   Grant County  OR,Draft,04/29/2011,03/25/2011,Forest Service,,OR
Beaver Creek Landscape Management Project  Vegetation Treatment  Implementation  Ashland Ranger District  Custer National Forest  Powder River County  MT,Final,04/06/2011,03/18/2011,Forest Service,,MT
Trident Support Facilities Explosives Handling Wharf (EHW-2)  Construction and Operating  Naval Base Kitsap Bangor  Silverdale  WA,Draft,05/17/2011,03/18/2011,United States Navy,,WA
Logan Northern Canal Reconstruction Project  To Construct a System that will Safely Restore Delivery of Water  City of Logon  Cache County  UT,Draft,04/29/2011,03/18/2011,Natural Resource Conservation Service,,UT
Honolulu Seawater Air Conditioning Project  Proposal to Construct a Seawater Air Conditioning System  US COE Section 10 and 404 Permits  City and County of Honolulu  HI,Draft,05/10/2011,03/18/2011,U.S. Army Corps of Engineers,,HI
Extension of F-Line Streetcar Service to Fort Mason Center Project  To Provide Park Visitors and Transit Dependent Residents with High-Quality Rail Transit that Improves Transportation Access and Mobility  Golden Gate National Recreation Area  San Francisco Maritime National Historical Park  CA,Draft,05/17/2011,03/18/2011,National Park Service,,CA
Texas Clean Energy Project   Construction and Operation of a Coal-Based Electric Power Generation and Chemicals Production Plant  Odessa  Ector County  TX,Draft,04/27/2011,03/18/2011,Department of Energy,,TX
Section 30  Limestone Mining Project  Proposal to Implement Mining Actions  Mystic Ranger District  Black Hills National Forest  Rapid City  Pennington County  SD,Draft,05/02/2011,03/18/2011,Forest Service,,SD
Grizzly Vegetation and Transportation Management Project  Updated and Additional Information  Proposes Timber Harvest  Prescribed Burning  Road Maintenance  and Transportation Management Actions  Three Rivers Ranger District  Kootenai National Forest  Lincoln County  MT,Draft Supplement,04/25/2011,03/18/2011,Forest Service,,MT
Harvest Specifications and Management Measures for the 2011-2012 Pacific Coast Groundfish Fishery and Amendment 16-5  to the Pacific Coast Groundfish Fishery Management Plan  and Adopt a Rebuilding Plan for Petrale Sole  RIN-0648-BA01  WA  OR and CA,Final,04/06/2011,03/11/2011,National Oceanic and Atmospheric Administration,,
Gulf of Alaska Navy Training Activities  Proposal to Support and Conduct Current  Emerging  and Future Training Activities  Implementation  Gulf of Alaska  AK,Final,04/06/2011,03/11/2011,United States Navy,,AK
R.J. Corman Railroad/Pennsylvania Lines Project  Additional Information   Construction  Operation  and Reactivation to Approximately 20 Miles of Railline in Clearfield and Centre Counties  PA,Draft Supplement,04/25/2011,03/11/2011,Surface Transportation Board,,PA
Tennessee Valley Authority (TVA) Integrated Resource Plan (IRP)  To Address the Demand for Power in the TVA  Service Area  KY,Final,04/11/2011,03/11/2011,Tennessee Valley Authority,,KY
PROGRAMMATIC -  I-70 Mountain Corridor Tier 1 Project  from Glenwood Springs and C-470 Proposes to Increase Capacity  Improve Accessibility and Mobility  and Decrease Congestion  Colorado  Garfield  Eagle  Summit  Clear Creek and Jefferson Counties  CO,Final,04/06/2011,03/11/2011,Federal Highway Administration,,CO
Montana Snowbowl Expansion Project  Proposed Expansion is to Increase Outdoor Recreation Opportunities  Missoula Ranger District  Lolo National Forest  Missoula County  MT,Draft,04/22/2011,03/11/2011,Forest Service,,MT
Blackfoot Bridge Mine Project  Developing Three Mine Pits  Haul Roads  Water Management  Structures  and Overburden Disposal Areas  Implementation  Caribou County  ID,Final,04/11/2011,03/11/2011,Bureau of Land Management,,ID
Central Kupreanof Timber Harvest Project  Proposes to Harvest up to 70.2 Million Board Feet of Timber  Kupreanof Island  Petersburg Ranger District  Tongass National Forest  AK,Final,04/06/2011,03/11/2011,Forest Service,,AK
Martin Basin Rangeland Project  Updated Information on the Analysis on the Effects of Livestock Grazing on the Wilderness  Reauthorizing Grazing on Eight Existing Cattle and Horse Allotments:  Bradshaw  Buffalo  Buttermilk  Granite Peak  Indian  Martin Basin  Rebel Creek  and West Side Flat Creek  Santa Rosa Ranger District  Humboldt-Toiyabe National Forest  NV,Draft Supplement,03/09/2011,03/11/2011,Forest Service,,NV
Y-12 National Security Complex Project  to Support the Stockpile Stewardship Program and to Meet the Mission Assigned to Y-12  Oak Ridge  TN,Final,03/30/2011,03/04/2011,National Nuclear Security Administration,,TN
North Second Street Corridor Improvement Project  from Interstate 40 at North Second Street to the Intersection of U.S 51/SR-32 Whitney Avenue in Memphis  Shelby County  TN,Draft,04/12/2011,03/04/2011,Federal Highway Administration,,TN
New Orleans To Venice (NOV)  Louisiana  Hurricane Rick Reduction Project  Incorporation of Non-Federal Levees from Oakville to St. Jude  Plaquemines Parish  LA,Draft,04/18/2011,03/04/2011,U.S. Army Corps of Engineers,,LA
Mudflow Vegetation Management Project  To Improve or Sustain the Health and Resiliency of the Forest and Reduce the Risk of Stand-replacing Wildfire  Siskiyou County  CA,Draft,04/14/2011,03/04/2011,Forest Service,,CA
McCloud-Pit Hydroelectric Project  (Project No. 2106) Application to Relicense its 368-Megawatt (MW)  McCloud and Pit Rivers  Shasta County  CA,Final,04/04/2011,03/04/2011,Federal Energy Regulatory Commission,,CA
Tracks Project  Proposing Forest Vegetation Management and Related Transportation System Activities  Superior National Forest  Laurentian Ranger District   St. Louis and Lake Counties  MN,Final,03/18/2011,03/04/2011,Forest Service,,MN
Uinta National Forest Oil and Gas Leasing  Implementation  Identify National Forest Systems Lands with Federal Mineral Rights  Wasatch  Utah  Juab  Tooele  and Sanpete Counties  UT,Final,04/04/2011,03/04/2011,Forest Service,,UT
Mountaineer Commercial Scale Carbon Capture and Storage Project  Construction and Operation  New Haven  Mason County  WV,Draft,,03/04/2011,Department of Energy,,WV
South Texas Project  Electric Generating Station Units 3 and 4  Application for Combined Licenses (COLs) for Construction Permits and Operating Licenses  Matagorda County  TX,Final,04/04/2011,03/04/2011,Nuclear Regulatory Commission,,TX
Sabine-Neches Waterway Channel Improvement Project  Proposed Ocean Dredged Material Disposal Site Designation  Southeast Texas and Southwest Louisiana,Final,04/04/2011,03/04/2011,U.S. Army Corps of Engineers,,TX
Everglades Restoration Tranisition Plan (ERTP)  To Defined Water Management Operating Criteria for  Central and Southern Florida Project ( C&SF) features and the Constructed features of the Modified Water Deliveries and Canal-III Project until a Combined Operational Plan is Implemented  Broward and Miami-Dade Counties  FL,Draft,04/18/2011,03/04/2011,U.S. Army Corps of Engineers,,FL
Sacramento River Deep Water Ship Channel Project  Proposal to Re-initiate Deepening and Selective Widening   Yolo  Sacramento  Solano and Contra Costa Counties  CA,Second Draft Supplemental,04/25/2011,03/04/2011,U.S. Army Corps of Engineers,,CA
PROGRAMMATIC - Ohio River Mainstem System Study  System Investment Plan (SIP) for Maintaining Safe  Environmentally Sustainable and Reliable Navigation on the Ohio River  IL  IN  OH  KY  PA and WV,Final,04/07/2011,02/25/2011,U.S. Army Corps of Engineers,,
PROGRAMMATIC - National Forest System Land Management Planning  Proposing a New Rule at 36 CFR Part 219 Guide Development  Revision  and Amendment of Land Management Plans for Unit of the National Forest System,Draft,05/16/2011,02/25/2011,Forest Service,,
Crenshaw Transit Corridor Project  Updated Information on a New Evaluation of Maintenance Sites    Proposals to Improve Transit Services  Funding  Los Angeles County Metropolitan Transportation Authority (LACMTA)  Los Angeles County  CA,Revised Draft,04/07/2011,02/25/2011,Federal Transit Administration,,CA
Marine Corps Air Ground Combat Center Project  Land Acquisition and Airspace Establishment to Support Large-Scale MAGTF Live-Fire and Maneuver Training Facility  San Bernardino County  CA,Draft,05/26/2011,02/25/2011,United States Navy,,CA
Disposal of Greater-Than-Class C (GTCC) Low-Level Radioactive Waste and GTCC-Like Waste  Proposed Development  Operation  and Long-Term Management of a Disposal Facility,Draft,06/27/2011,02/25/2011,Department of Energy,,WA - ID - NV - NM
Missouri River Commercial Dredging  Proposal to Extract Sand and Gravel from the Missouri River  US Corp of Engineer's Section 10 and 404 Permits  Kansas City   Central Missouri and Greater St. Louis  Missouri,Final,03/24/2011,02/25/2011,U.S. Army Corps of Engineers,,
Palmyra Atoll National Wildlife Refuge Rat Eradication Project  Proposing to Restore and Protect the Native Species and Habitats  Implementation  Northern Line Islands  Honolulu  HI,Draft,04/08/2011,02/25/2011,Fish and Wildlife Service,,HI
Salt Timber Harvest and Fuel Hazard Reduction Project  Additional Analysis and Supplemental Information  Proposing Vegetation Management in the Salt Creek Watershed  South Fork Management Unit  Hayfork Ranger District  Shasta-Trinity National Forest  Trinity County  CA,Draft Supplement,02/24/2011,02/25/2011,Forest Service,,CA
Hunters Point  (Former) Naval Shipyard Disposal and Reuse  Supplement Information on the 2000 FEIS  Implementation  City of San Francisco  San Francisco County  CA,Draft Supplement,05/06/2011,02/25/2011,United States Navy,,CA
Eagle Rock Enrichment Facility  Construct  Operate  and Decommission  Proposed Facility would Enrich Uranium for Use in Commercial Nuclear Fuel for Power Reactors  Bonneville County  ID,Final,03/25/2011,02/25/2011,Nuclear Regulatory Commission,,ID
Yerba Buena Island Ramps Improvement Project on Interstate 80 (I-80)   Proposals to Replace the Existing Westbound on- and off-ramp  Funding  San Francisco County  CA,Draft,04/11/2011,02/25/2011,Federal Highway Administration,,CA
